,Crime_Code,Crime_Code_Description
0,110,CRIMINAL HOMICIDE
1,113,"MANSLAUGHTER, NEGLIGENT"
2,121,"RAPE, FORCIBLE"
3,122,"RAPE, ATTEMPTED"
4,210,ROBBERY
5,220,ATTEMPTED ROBBERY
6,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAUL"
7,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
8,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
9,236,INTIMATE PARTNER - AGGRAVATED ASSAULT
10,237,CHILD NEGLECT (SEE 300 W.I.C.)
11,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCR"
12,251,SHOTS FIRED AT INHABITED DWELLING
13,310,BURGLARY
14,320,"BURGLARY, ATTEMPTED"
15,330,BURGLARY FROM VEHICLE
16,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OV
17,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,L"
18,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
19,345,DISHONEST EMPLOYEE - GRAND THEFT
20,347,GRAND THEFT / INSURANCE FRAUD
21,349,GRAND THEFT / AUTO REPAIR
22,350,"THEFT, PERSON"
23,351,PURSE SNATCHING
24,352,PICKPOCKET
25,353,DRUNK ROLL
26,354,THEFT OF IDENTITY
27,410,"BURGLARY FROM VEHICLE, ATTEMPTED"
28,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDE
29,421,THEFT FROM MOTOR VEHICLE - ATTEMPT
30,433,DRIVING WITHOUT OWNER CONSENT (DWOC)
31,434,FALSE IMPRISONMENT
32,435,LYNCHING
33,436,LYNCHING - ATTEMPTED
34,437,RESISTING ARREST
35,438,RECKLESS DRIVING
36,439,FALSE POLICE REPORT
37,440,THEFT PLAIN - PETTY ($950 & UNDER)
38,441,THEFT PLAIN - ATTEMPT
39,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
40,443,SHOPLIFTING - ATTEMPT
41,444,DISHONEST EMPLOYEE - PETTY THEFT
42,446,PETTY THEFT - AUTO REPAIR
43,450,THEFT FROM PERSON - ATTEMPT
44,451,PURSE SNATCHING - ATTEMPT
45,452,"PICKPOCKET, ATTEMPT"
46,470,TILL TAP - GRAND THEFT ($950.01 & OVER)
47,471,TILL TAP - PETTY ($950 & UNDER)
48,473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
49,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
50,475,"THEFT, COIN MACHINE - ATTEMPT"
51,480,BIKE - STOLEN
52,485,BIKE - ATTEMPTED STOLEN
53,487,BOAT - STOLEN
54,510,VEHICLE - STOLEN
55,520,VEHICLE - ATTEMPT STOLEN
56,522,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND W"
57,622,BATTERY ON A FIREFIGHTER
58,623,BATTERY POLICE (SIMPLE)
59,624,BATTERY - SIMPLE ASSAULT
60,625,OTHER ASSAULT
61,626,INTIMATE PARTNER - SIMPLE ASSAULT
62,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
63,647,THROWING OBJECT AT MOVING VEHICLE
64,648,ARSON
65,649,DOCUMENT FORGERY / STOLEN FELONY
66,651,DOCUMENT WORTHLESS ($200.01 & OVER)
67,652,DOCUMENT WORTHLESS ($200 & UNDER)
68,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
69,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
70,660,COUNTERFEIT
71,661,UNAUTHORIZED COMPUTER ACCESS
72,662,"BUNCO, GRAND THEFT"
73,664,"BUNCO, PETTY THEFT"
74,666,"BUNCO, ATTEMPT"
75,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
76,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
77,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH V"
78,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
79,753,DISCHARGE FIREARMS/SHOTS FIRED
80,755,BOMB SCARE
81,756,WEAPONS POSSESSION/BOMBING
82,760,LEWD/LASCIVIOUS ACTS WITH CHILD
83,761,BRANDISH WEAPON
84,762,LEWD CONDUCT
85,763,STALKING
86,805,PIMPING
87,806,PANDERING
88,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION "
89,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10
90,813,CHILD ANNOYING (17YRS & UNDER)
91,814,CHILD PORNOGRAPHY
92,815,SEXUAL PENETRATION W/FOREIGN OBJECT
93,820,ORAL COPULATION
94,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS T
95,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
96,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
97,840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSL"
98,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
99,850,INDECENT EXPOSURE
100,860,BATTERY WITH SEXUAL CONTACT
101,865,"DRUGS, TO A MINOR"
102,870,CHILD ABANDONMENT
103,880,DISRUPT SCHOOL
104,886,DISTURBING THE PEACE
105,888,TRESPASSING
106,890,FAILURE TO YIELD
107,900,VIOLATION OF COURT ORDER
108,901,VIOLATION OF RESTRAINING ORDER
109,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
110,903,CONTEMPT OF COURT
111,904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS
112,906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
113,910,KIDNAPPING
114,920,KIDNAPPING - GRAND ATTEMPT
115,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
116,922,CHILD STEALING
117,924,TELEPHONE PROPERTY - DAMAGE
118,928,THREATENING PHONE CALLS/LETTERS
119,930,CRIMINAL THREATS - NO WEAPON DISPLAYED
120,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR "
121,932,PEEPING TOM
122,933,PROWLER
123,940,EXTORTION
124,942,BRIBERY
125,943,CRUELTY TO ANIMALS
126,944,CONSPIRACY
127,946,OTHER MISCELLANEOUS CRIME
128,949,ILLEGAL DUMPING
129,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER "
130,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 "
131,954,CONTRIBUTING
132,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
